StudyFolder, ScenarioName, Did the driver signal, How does vehicle speed change?                     , How does pedestrian speed change?                   , Who has the right of way?（Who reached the intersection first?）, Who went first？   , Did the pedestrian use hand gestures?, Did the driver use hand gestures?
PedNYC23   ,            3, Yes                  , Slowing down                                       , Slowing down                                        , Pedestrian                                                      , Driver             , Yes                                  , 
PedNYC23   ,            7, No                   , Speeding up                                        , Slowing down                                        , Driver                                                          , Driver             , Yes                                  , 
PedNYC23   ,           12, Yes                  , No change                                          , Not walking                                         , Both                                                            , Driver             , No                                   , 
PedNYC23   ,           15, No                   , No change                                          , No change                                           , Driver                                                          , Driver             , No                                   , 
PedNYC23   ,           16, No                   , Slowing down                                       , No change                                           , Both                                                            , Driver             , No                                   , 
PedNYC23   ,           21, Yes                  , Not moving                                         , No change                                           , Pedestrian                                                      , Pedestrian         , No                                   , 
PedNYC24   ,            3, Yes                  , Slowing down                                       , No change                                           , Pedestrian                                                      , Pedestrian         , No                                   , 
PedNYC24   ,            7, No                   , Not moving                                         , No change                                           , Pedestrian                                                      , Pedestrian         , No                                   , 
PedNYC24   ,           12, Yes                  , No change                                          , No change                                           , Both                                                            , Driver             , No                                   , 
PedNYC24   ,           15, Yes                  , Not moving                                         , Not walking                                         , Pedestrian                                                      , Pedestrian         , No                                   , 
PedNYC24   ,           16, No                   , No change                                          , Not walking                                         , Both                                                            , Driver             , No                                   , 
PedNYC24   ,           21, Yes                  , Slowing down                                       , Slowing down                                        , Both                                                            , Driver             , Yes                                  , 
PedNYC25   ,            3, Yes                  , Slowing down                                       , No change                                           , Pedestrian                                                      , Pedestrian         , No                                   , 
PedNYC25   ,            7, No                   , Not moving                                         , Not walking                                         , Pedestrian                                                      , Pedestrian         , No                                   , 
PedNYC25   ,           12,                      ,                                                    ,                                                     , Both                                                            ,                    ,                                      , 
PedNYC25   ,           15, Yes                  , Slowing down                                       , No change                                           , Pedestrian                                                      , Pedestrian         , No                                   , 
PedNYC25   ,           16, No                   , Slowing down                                       , Not walking                                         , Both                                                            , Driver             , No                                   , 
PedNYC25   ,           21, Yes                  , Slowing down                                       , Slowing down                                        , Pedestrian                                                      , Pedestrian         , No                                   , 
PedNYC26   ,            3, No                   , Slowing down                                       , Slowing down                                        , Driver                                                          , Driver             , No                                   , 
PedNYC26   ,            7, No                   , Not moving                                         , Slowing down                                        , Pedestrian                                                      , Pedestrian         , Yes                                  , 
PedNYC26   ,           12, Yes                  , Slowing down                                       , Slowing down                                        , Both                                                            , Driver             , No                                   , 
PedNYC26   ,           15, Yes                  , Slowing down                                       , No change                                           , Pedestrian                                                      , Pedestrian         , No                                   , 
PedNYC26   ,           16, No                   , Slowing down                                       , No change                                           , Both                                                            , Driver             , No                                   , 
PedNYC26   ,           21, Yes                  , No change                                          , No change                                           , Driver                                                          , Driver             , No                                   , 
PedNYC27   ,            3,                      ,                                                    ,                                                     ,                                                                 ,                    ,                                      , 
PedNYC27   ,            7,                      ,                                                    ,                                                     ,                                                                 ,                    ,                                      , 
PedNYC27   ,           12,                      ,                                                    ,                                                     , Both                                                            ,                    ,                                      , 
PedNYC27   ,           15,                      ,                                                    ,                                                     ,                                                                 ,                    ,                                      , 
PedNYC27   ,           16,                      ,                                                    ,                                                     ,                                                                 ,                    ,                                      , 
PedNYC27   ,           21, Yes                  , Slowing down                                       , No change                                           , Pedestrian                                                      , Pedestrian         , No                                   , 
PedNYC28   ,            3, Yes                  , Slowing down                                       , Speeding up                                         , Both                                                            , Pedestrian         , Yes                                  , 
PedNYC28   ,            7, No                   , Slowing down                                       , Slowing down                                        , Pedestrian                                                      , Pedestrian         , No                                   , 
PedNYC28   ,           12, Yes                  , Slowing down                                       , No change                                           , Both                                                            , Driver             , No                                   , 
PedNYC28   ,           15, Yes                  , Not moving                                         , No change                                           , Pedestrian                                                      , Pedestrian         , No                                   , 
PedNYC28   ,           16, No                   , Not moving                                         , No change                                           , Both                                                            , Pedestrian         , No                                   , 
PedNYC28   ,           21, Yes                  , Slowing down                                       , No change                                           , Pedestrian                                                      , Pedestrian         , Yes                                  , 
PedNYC29   ,            3, Yes                  , Slowing down                                       , No change                                           , Pedestrian                                                      , Pedestrian         , Yes                                  , 
PedNYC29   ,            7, No                   , Slowing down                                       , No change                                           , Pedestrian                                                      , Pedestrian         , No                                   , 
PedNYC29   ,           12, Yes                  , Slowing down                                       , No change                                           , Both                                                            , Pedestrian         , Yes                                  , 
PedNYC29   ,           15, No                   , Slowing down                                       , No change                                           , Pedestrian                                                      , Pedestrian         , No                                   , 
PedNYC29   ,           16, No                   , Slowing down                                       , No change                                           , Both                                                            , Pedestrian         , No                                   , 
PedNYC29   ,           21, Yes                  , Slowing down                                       , No change                                           , Pedestrian                                                      , Pedestrian         , No                                   , 
PedNYC30   ,            3, Yes                  , Slowing down                                       , Speeding up                                         , Pedestrian                                                      , Pedestrian         , No                                   , 
PedNYC30   ,            7,                      ,                                                    ,                                                     ,                                                                 ,                    ,                                      , 
PedNYC30   ,           12, Yes                  , Slowing down                                       , No change                                           , Both                                                            , Pedestrian         , No                                   , 
PedNYC30   ,           15, Yes                  , Slowing down                                       , No change                                           , Pedestrian                                                      , Pedestrian         , No                                   , 
PedNYC30   ,           16, No                   , No change                                          , No change                                           , Both                                                            , Driver             , No                                   , 
PedNYC30   ,           21, Yes                  , Slowing down                                       , Slowing down                                        , Pedestrian                                                      , Pedestrian         , Yes                                  , 
PedNYC31   ,            3, Yes                  , Slowing down                                       , No change                                           , Pedestrian                                                      , Pedestrian         , No                                   , 
PedNYC31   ,            7,                      ,                                                    ,                                                     ,                                                                 ,                    ,                                      , 
PedNYC31   ,           12, Yes                  , No change                                          , No change                                           , Both                                                            , Pedestrian         , No                                   , 
PedNYC31   ,           15, Yes                  , Slowing down                                       , Not walking                                         , Pedestrian                                                      , Driver             , No                                   , 
PedNYC31   ,           16,                      ,                                                    ,                                                     , Both                                                            ,                    ,                                      , 
PedNYC31   ,           21,                      ,                                                    ,                                                     ,                                                                 ,                    ,                                      , 
PedNYC32   ,            3, No                   , Slowing down                                       , Slowing down                                        , Pedestrian                                                      , Pedestrian         , Yes                                  , 
PedNYC32   ,            7, No                   , Slowing down                                       , No change                                           , Pedestrian                                                      , Pedestrian         , Yes                                  , 
PedNYC32   ,           12,                      ,                                                    ,                                                     , Both                                                            ,                    ,                                      , 
PedNYC32   ,           15, No                   , Slowing down                                       , No change                                           , Pedestrian                                                      , Pedestrian         , No                                   , 
PedNYC32   ,           16, No                   , Slowing down                                       , No change                                           , Both                                                            , Driver             , No                                   , 
PedNYC32   ,           21, No                   , No change                                          , Slowing down                                        , Neither                                                         , Pedestrian         , No                                   , 
